med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-252,Condition1,n1,n1__Condition1,19.8790890119501,0.992,148.806,1737.506,214.824,483.84,595.792219607843,yes
Condition1-n1,n1__Condition1-255,Condition1,n1,n1__Condition1,13.9753955528993,0.969,149.606,1994.227,950.416,482.996,595.792219607843,yes
Condition1-n1,n1__Condition1-258,Condition1,n1,n1__Condition1,20.9868074158697,0.995,172.836,1126.914,2291.993,492.602,595.792219607843,yes
Condition1-n1,n1__Condition1-262,Condition1,n1,n1__Condition1,20.6624496418484,0.992,242.094,1500.908,1751.364,501.039,595.792219607843,yes
Condition1-n1,n1__Condition1-263,Condition1,n1,n1__Condition1,13.0296968810473,0.967,164.412,2256.771,2337.359,497.274,595.792219607843,yes
Condition1-n1,n1__Condition1-265,Condition1,n1,n1__Condition1,24.2157429013181,0.988,191.18,1468.394,2385.126,511.098,595.792219607843,yes
Condition1-n1,n1__Condition1-268,Condition1,n1,n1__Condition1,17.5958521983538,0.944,410.354,1791.295,176.532,510.125,595.792219607843,yes
Condition1-n1,n1__Condition1-270,Condition1,n1,n1__Condition1,23.1077061875123,1.02,149.203,1459.476,434.19,513.046,595.792219607843,yes
Condition1-n1,n1__Condition1-279,Condition1,n1,n1__Condition1,20.5001115998947,0.986,188.358,1502.279,2414.981,523.754,595.792219607843,yes
Condition1-n1,n1__Condition1-284,Condition1,n1,n1__Condition1,18.1022832272722,0.992,210.663,1595.224,846.963,537.708,595.792219607843,yes
Condition1-n1,n1__Condition1-290,Condition1,n1,n1__Condition1,20.7098778148898,1.018,152.996,1286.563,242.731,549.715,595.792219607843,yes
Condition1-n1,n1__Condition1-305,Condition1,n1,n1__Condition1,21.7704863556542,0.996,201.688,1515.635,1585.541,578.596,595.792219607843,yes
Condition1-n1,n1__Condition1-310,Condition1,n1,n1__Condition1,22.811041373589,0.937,269.842,2567.274,14.927,584.437,595.792219607843,yes
Condition1-n1,n1__Condition1-313,Condition1,n1,n1__Condition1,18.7710522981443,0.971,188.08,1710.075,2225.144,594.497,595.792219607843,yes
Condition1-n1,n1__Condition1-317,Condition1,n1,n1__Condition1,19.0957283820518,1.006,245.993,856.798,2207.945,603.907,595.792219607843,yes
Condition1-n1,n1__Condition1-321,Condition1,n1,n1__Condition1,21.2163088438082,0.981,145.267,1186.538,696.132,615.72,595.792219607843,yes
Condition1-n1,n1__Condition1-322,Condition1,n1,n1__Condition1,18.0351198412874,0.994,146.041,1801.721,652.908,616.563,595.792219607843,yes
Condition1-n1,n1__Condition1-323,Condition1,n1,n1__Condition1,19.0282466861808,0.986,192.306,1705.73,291.245,624.838,595.792219607843,yes
Condition1-n1,n1__Condition1-327,Condition1,n1,n1__Condition1,18.7038889121595,0.946,178.399,1844.298,2435.749,636.034,595.792219607843,yes
Condition1-n1,n1__Condition1-331,Condition1,n1,n1__Condition1,16.8124915684555,0.947,259.395,2165.174,329.988,649.224,595.792219607843,yes
Condition1-n1,n1__Condition1-333,Condition1,n1,n1__Condition1,18.0351198412874,0.984,169.484,1576.295,1415.824,658.425,595.792219607843,yes
Condition1-n1,n1__Condition1-338,Condition1,n1,n1__Condition1,16.6501535265017,0.99,148.541,932.412,1250.325,673.027,595.792219607843,yes
Condition1-n1,n1__Condition1-34,Condition1,n1,n1__Condition1,18.8184804711857,1.001,331.722,1189.573,2435.749,66.199,595.792219607843,yes
Condition1-n1,n1__Condition1-345,Condition1,n1,n1__Condition1,14.9210942247514,0.988,156.576,2921.137,1486.891,685.359,595.792219607843,yes
Condition1-n1,n1__Condition1-346,Condition1,n1,n1__Condition1,17.3189225973739,0.985,170.624,1785.207,1257.789,686.981,595.792219607843,yes
Condition1-n1,n1__Condition1-347,Condition1,n1,n1__Condition1,17.2517592113891,0.991,166.175,1867.256,1735.463,690.551,595.792219607843,yes
Condition1-n1,n1__Condition1-348,Condition1,n1,n1__Condition1,15.360361867685,0.977,187.702,1397.402,2140.348,695.568,595.792219607843,yes
Condition1-n1,n1__Condition1-352,Condition1,n1,n1__Condition1,17.041992996394,0.992,245.16,2211.482,1196.852,700.058,595.792219607843,yes
Condition1-n1,n1__Condition1-353,Condition1,n1,n1__Condition1,21.5409849277157,1.006,170.075,1988.833,2557.764,704.505,595.792219607843,yes
Condition1-n1,n1__Condition1-356,Condition1,n1,n1__Condition1,17.9205282822612,0.98,153.312,2155.789,1459.795,709.534,595.792219607843,yes
Condition1-n1,n1__Condition1-360,Condition1,n1,n1__Condition1,26.6609994469819,1,164.147,1932.211,1389.214,725.598,595.792219607843,yes
Condition1-n1,n1__Condition1-362,Condition1,n1,n1__Condition1,18.7038889121595,1.007,151.466,1727.082,550.202,725.111,595.792219607843,yes
Condition1-n1,n1__Condition1-364,Condition1,n1,n1__Condition1,19.8790890119501,1.006,155.622,1993.451,928.414,737.28,595.792219607843,yes
Condition1-n1,n1__Condition1-366,Condition1,n1,n1__Condition1,26.0597120719808,1.005,148.807,2184.569,1279.855,743.121,595.792219607843,yes
Condition1-n1,n1__Condition1-367,Condition1,n1,n1__Condition1,19.3249115001041,0.968,168.88,1705.767,2568.016,741.676,595.792219607843,yes
Condition1-n1,n1__Condition1-369,Condition1,n1,n1__Condition1,20.2034467859714,0.978,189.581,1825.917,655.991,749.449,595.792219607843,yes
Condition1-n1,n1__Condition1-374,Condition1,n1,n1__Condition1,22.6964498145628,0.962,191.988,2016.919,1492.18,761.585,595.792219607843,yes
Condition1-n1,n1__Condition1-382,Condition1,n1,n1__Condition1,14.2523251538792,0.927,164.148,2752.108,1679.518,776.935,595.792219607843,yes
Condition1-n1,n1__Condition1-383,Condition1,n1,n1__Condition1,21.3786468857619,1.011,171.124,2350.969,480.595,782.386,595.792219607843,yes
Condition1-n1,n1__Condition1-384,Condition1,n1,n1__Condition1,21.2640553267358,0.951,198.621,1911.236,2214.322,781.686,595.792219607843,yes
Condition1-n1,n1__Condition1-392,Condition1,n1,n1__Condition1,20.8050524708587,0.954,197.471,1927.242,339.759,802.506,595.792219607843,yes
Condition1-n1,n1__Condition1-395,Condition1,n1,n1__Condition1,12.5710123350564,0.96,172.551,2938.654,1998.199,799.719,595.792219607843,yes
Condition1-n1,n1__Condition1-398,Condition1,n1,n1__Condition1,18.2646212692259,0.997,365.966,2023.377,470.86,808.996,595.792219607843,yes
Condition1-n1,n1__Condition1-40,Condition1,n1,n1__Condition1,19.0957283820518,0.988,147.49,2144.426,1561.527,79.504,595.792219607843,yes
Condition1-n1,n1__Condition1-402,Condition1,n1,n1__Condition1,16.2586323664957,1.006,161.802,1580.913,1134.152,810.943,595.792219607843,yes
Condition1-n1,n1__Condition1-404,Condition1,n1,n1__Condition1,22.6012751585939,0.989,164.862,2078.676,1642.979,815.81,595.792219607843,yes
Condition1-n1,n1__Condition1-406,Condition1,n1,n1__Condition1,19.8119256259653,0.98,330.035,1516.992,2400.832,819.769,595.792219607843,yes
Condition1-n1,n1__Condition1-413,Condition1,n1,n1__Condition1,19.6021594109702,0.988,171.267,920.479,670.256,838.542,595.792219607843,yes
Condition1-n1,n1__Condition1-414,Condition1,n1,n1__Condition1,16.7650633954141,1.011,161.923,1680.181,687.63,837.228,595.792219607843,yes
Condition1-n1,n1__Condition1-415,Condition1,n1,n1__Condition1,16.1437224975833,1.019,158.418,1520.16,1232.153,840.149,595.792219607843,yes
Condition1-n1,n1__Condition1-417,Condition1,n1,n1__Condition1,24.7221739302365,0.977,162.29,1560.133,2447.198,852.142,595.792219607843,yes
Condition1-n1,n1__Condition1-424,Condition1,n1,n1__Condition1,21.4935567546743,0.984,160.711,1214.929,627.272,871.301,595.792219607843,yes
Condition1-n1,n1__Condition1-425,Condition1,n1,n1__Condition1,14.0231420358269,0.979,180.231,1153.688,170.366,873.248,595.792219607843,yes
Condition1-n1,n1__Condition1-426,Condition1,n1,n1__Condition1,18.7038889121595,0.983,202.24,2085.07,89.726,876.98,595.792219607843,yes
Condition1-n1,n1__Condition1-445,Condition1,n1,n1__Condition1,15.0834322667051,1.018,163.102,1594.255,1333.075,921.275,595.792219607843,yes
Condition1-n1,n1__Condition1-449,Condition1,n1,n1__Condition1,19.6495875840116,0.963,243.801,1678.786,264.473,928.739,595.792219607843,yes
Condition1-n1,n1__Condition1-452,Condition1,n1,n1__Condition1,26.2888951900331,0.951,202.074,952.475,620.6,934.318,595.792219607843,yes
Condition1-n1,n1__Condition1-458,Condition1,n1,n1__Condition1,21.0542891117407,0.997,256.996,1732.655,2092.745,950.481,595.792219607843,yes
Condition1-n1,n1__Condition1-459,Condition1,n1,n1__Condition1,15.9142210696448,0.951,536.958,2186.793,1574.832,951.779,595.792219607843,yes
Condition1-n1,n1__Condition1-460,Condition1,n1,n1__Condition1,17.7581902403075,1.01,158.323,1445.603,2334.179,951.454,595.792219607843,yes
Condition1-n1,n1__Condition1-462,Condition1,n1,n1__Condition1,22.4866835995677,0.983,221.232,1858.591,263.337,963.299,595.792219607843,yes
Condition1-n1,n1__Condition1-465,Condition1,n1,n1__Condition1,20.0414270539038,1.011,268.242,1670.226,416.018,975.468,595.792219607843,yes
Condition1-n1,n1__Condition1-466,Condition1,n1,n1__Condition1,17.5484240253124,0.956,155.627,914.182,910.605,978.368,595.792219607843,yes
Condition1-n1,n1__Condition1-468,Condition1,n1,n1__Condition1,14.2523251538792,0.987,164.102,2012.848,347.871,986.177,595.792219607843,yes
Condition1-n1,n1__Condition1-470,Condition1,n1,n1__Condition1,18.3792128282521,0.986,235.271,2382.037,1927.571,999.481,595.792219607843,yes
Condition1-n1,n1__Condition1-474,Condition1,n1,n1__Condition1,26.4314980190434,0.999,175.356,2127.435,1581.16,1013.273,595.792219607843,yes
Condition1-n1,n1__Condition1-482,Condition1,n1,n1__Condition1,21.0345538987973,0.975,282.249,1641.84,2035.632,1024.468,595.792219607843,yes
Condition1-n1,n1__Condition1-485,Condition1,n1,n1__Condition1,20.2231819989148,0.991,178.952,1796.852,770.055,1027.389,595.792219607843,yes
Condition1-n1,n1__Condition1-491,Condition1,n1,n1__Condition1,20.8247876838021,1.009,165.657,2094.71,911.216,1031.932,595.792219607843,yes
Condition1-n1,n1__Condition1-494,Condition1,n1,n1__Condition1,14.87366605171,1.006,359.06,1333.222,830.413,1033.23,595.792219607843,yes
Condition1-n1,n1__Condition1-504,Condition1,n1,n1__Condition1,14.3672350227916,1.008,169.003,1000.58,587.682,1049.78,595.792219607843,yes
Condition1-n1,n1__Condition1-509,Condition1,n1,n1__Condition1,21.9325060877217,0.996,160.7,1438.865,1827.274,1063.284,595.792219607843,yes
Condition1-n1,n1__Condition1-51,Condition1,n1,n1__Condition1,14.414663195833,0.986,220.291,1769.785,256.36,102.869,595.792219607843,yes
Condition1-n1,n1__Condition1-510,Condition1,n1,n1__Condition1,17.2043310383477,0.955,218.552,1510.309,169.791,1062.179,595.792219607843,yes
Condition1-n1,n1__Condition1-512,Condition1,n1,n1__Condition1,18.1022832272722,0.998,157.328,699.892,2484.75,1070.873,595.792219607843,yes
Condition1-n1,n1__Condition1-513,Condition1,n1,n1__Condition1,24.1205682453491,0.982,148.837,2015.284,2231.634,1078.661,595.792219607843,yes
Condition1-n1,n1__Condition1-519,Condition1,n1,n1__Condition1,14.8065026657252,0.983,150.948,1239.256,860.592,1081.906,595.792219607843,yes
Condition1-n1,n1__Condition1-52,Condition1,n1,n1__Condition1,23.270044229466,0.995,171.36,1784.014,997.534,109.683,595.792219607843,yes
Condition1-n1,n1__Condition1-521,Condition1,n1,n1__Condition1,19.210319941078,1.004,154.017,975.116,1111.761,1085.476,595.792219607843,yes
Condition1-n1,n1__Condition1-522,Condition1,n1,n1__Condition1,14.3198068497502,0.928,521.901,1553.839,5.517,1086.449,595.792219607843,yes
Condition1-n1,n1__Condition1-535,Condition1,n1,n1__Condition1,20.7576242978174,0.987,160.926,1668.377,1555.557,1123.054,595.792219607843,yes
Condition1-n1,n1__Condition1-540,Condition1,n1,n1__Condition1,20.2034467859714,0.987,266.959,1806.469,2150.932,1147.931,595.792219607843,yes
Condition1-n1,n1__Condition1-550,Condition1,n1,n1__Condition1,18.6564607391182,1.009,156.032,2087.336,1226.312,1188.994,595.792219607843,yes
Condition1-n1,n1__Condition1-553,Condition1,n1,n1__Condition1,18.2646212692259,0.982,251.221,1621.101,1737.41,1202.623,595.792219607843,yes
Condition1-n1,n1__Condition1-554,Condition1,n1,n1__Condition1,17.3189225973739,0.98,241.75,1911.243,1420.367,1205.219,595.792219607843,yes
Condition1-n1,n1__Condition1-555,Condition1,n1,n1__Condition1,17.3189225973739,0.967,217.926,2204.924,1404.791,1205.868,595.792219607843,yes
Condition1-n1,n1__Condition1-561,Condition1,n1,n1__Condition1,17.4812606393276,0.988,149.004,1128.986,2441.915,1216.577,595.792219607843,yes
Condition1-n1,n1__Condition1-565,Condition1,n1,n1__Condition1,24.1683147282767,0.986,171.124,2356.655,163.162,1233.321,595.792219607843,yes
Condition1-n1,n1__Condition1-571,Condition1,n1,n1__Condition1,19.1628917680366,0.992,217.377,1870.022,660.372,1255.517,595.792219607843,yes
Condition1-n1,n1__Condition1-576,Condition1,n1,n1__Condition1,22.2097539985878,0.996,311.73,1758.293,1536.216,1263.955,595.792219607843,yes
Condition1-n1,n1__Condition1-577,Condition1,n1,n1__Condition1,15.4275252536698,0.949,229.591,1836.855,7.139,1264.928,595.792219607843,yes
Condition1-n1,n1__Condition1-585,Condition1,n1,n1__Condition1,22.0948441296755,0.993,190.165,1255.426,730.179,1278.729,595.792219607843,yes
