med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n3,n3__Condition1-813,Condition1,n3,n3__Condition1,14.6441646237715,0.98,172.12,1391.184,27.583,1751.689,598.105352941177,yes
Condition1-n3,n3__Condition1-814,Condition1,n3,n3__Condition1,14.3198068497502,0.999,682.647,252.66,710.67,1751.364,598.105352941177,no
Condition1-n3,n3__Condition1-815,Condition1,n3,n3__Condition1,22.324345557614,0.978,565.862,286.427,950.204,1756.909,598.105352941177,no
Condition1-n3,n3__Condition1-816,Condition1,n3,n3__Condition1,12.6381757210412,0.967,536.17,248.712,1289.071,1753.376,598.105352941177,no
Condition1-n3,n3__Condition1-817,Condition1,n3,n3__Condition1,12.246336251149,0.962,449.517,244.9,2413.683,1756.232,598.105352941177,no
Condition1-n3,n3__Condition1-818,Condition1,n3,n3__Condition1,12.705339107026,0.983,362.078,261.699,5.841,1756.881,598.105352941177,no
Condition1-n3,n3__Condition1-819,Condition1,n3,n3__Condition1,18.3120494422673,0.988,1568.015,270.841,736.793,1761.586,598.105352941177,no
Condition1-n3,n3__Condition1-82,Condition1,n3,n3__Condition1,18.8184804711857,0.995,288.534,262.903,1858.127,158.359,598.105352941177,no
Condition1-n3,n3__Condition1-820,Condition1,n3,n3__Condition1,17.4812606393276,0.948,161.837,244.207,1245.294,1760.812,598.105352941177,no
Condition1-n3,n3__Condition1-821,Condition1,n3,n3__Condition1,14.1377335948531,0.958,614.759,267.686,1830.669,1762.422,598.105352941177,no
Condition1-n3,n3__Condition1-822,Condition1,n3,n3__Condition1,24.3780809432718,0.994,203.873,2267.554,2005.94,1768.401,598.105352941177,yes
Condition1-n3,n3__Condition1-823,Condition1,n3,n3__Condition1,12.1317446921228,1.006,884.304,278.938,1722.158,1762.397,598.105352941177,no
Condition1-n3,n3__Condition1-824,Condition1,n3,n3__Condition1,14.4818265818177,0.969,158.082,263.641,2303.026,1768.887,598.105352941177,no
Condition1-n3,n3__Condition1-825,Condition1,n3,n3__Condition1,21.8653427017369,0.956,339.059,261.717,1557.341,1771.711,598.105352941177,no
